generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
19,6,"[8, 6, 4, 3]",0.6068196078431373,0.5407777777777778,0.9411764705882353,0.0
19,7,"[7, 6, 5, 2]",0.6055529411764706,0.5386666666666666,0.9411764705882353,0.0
19,8,"[8, 6, 4, 1]",0.6047529411764705,0.5373333333333333,0.9411764705882353,0.0
19,9,"[8, 6, 5, 0]",0.5885333333333334,0.5364444444444445,0.8888888888888888,0.0
19,10,"[8, 6, 5, 2]",0.5810761904761904,0.5398888888888889,0.8571428571428571,0.0
19,11,"[10, 6, 3, 2]",0.5770461538461538,0.5386666666666666,0.8461538461538461,0.0
19,12,"[8, 6, 5, 0]",0.5705212121212121,0.5417777777777778,0.8181818181818182,0.0
19,13,"[7, 6, 5, 2]",0.5657254901960784,0.5311111111111111,0.8235294117647058,0.0
19,14,"[8, 5, 4, 0]",0.5382666666666667,0.536,0.7222222222222222,0.0
19,15,"[8, 5, 5, 1]",0.5363333333333333,0.5327777777777778,0.7222222222222222,0.0
20,1,"[8, 5, 4, 2]",0.6115333333333333,0.547,0.9444444444444444,0.0
20,2,"[10, 6, 4, 3]",0.6065529411764705,0.5403333333333333,0.9411764705882353,0.0
20,3,"[8, 4, 4, 1]",0.6058666666666666,0.5431111111111111,0.9333333333333333,0.0
20,4,"[8, 5, 3, 2]",0.6030380952380952,0.5407777777777777,0.9285714285714286,0.0
20,5,"[8, 6, 5, 2]",0.6023714285714286,0.5396666666666667,0.9285714285714286,0.0
20,6,"[8, 6, 3, 2]",0.6023333333333334,0.5372222222222223,0.9333333333333333,0.0
20,7,"[8, 7, 5, 2]",0.6004380952380952,0.5364444444444445,0.9285714285714286,0.0
20,8,"[8, 6, 4, 1]",0.5934285714285714,0.5366666666666666,0.9047619047619048,0.0
20,9,"[7, 6, 5, 2]",0.5834392156862744,0.5312222222222222,0.8823529411764706,0.0
20,10,"[8, 4, 4, 1]",0.5790666666666666,0.5401111111111111,0.85,0.0
20,11,"[8, 8, 4, 2]",0.5780761904761904,0.5348888888888889,0.8571428571428571,0.0
20,12,"[8, 6, 5, 2]",0.5730927536231883,0.5421111111111111,0.8260869565217391,0.0
